Segment,Source,Target,RAG adheres?,SPA obviously adheres?,SPA adheres?,Agreement?,RAG suggestion,SPA suggestion,Agreement on suggestion,RAG Terms,SPA Terms
0,The Wonderful Wizard of Oz,Der wunderbare Zauberer von Oz,FALSE,TRUE,TRUE,FALSE,Wunderwirkenden Zauberer von Oz,Wunderwirkenden Zauberer von Oz,TRUE,The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz | land of Oz → Land Oz (note: German uses 'Land Oz' without 'of') | Great Oz → großen Oz | Good Witch of the North → Gute Hexe des Nordens | Wicked Witch of the West → Böse Hexe des Westens | Wicked Witch of the East → Böse Hexe des Ostens,"1. term: ""The Wonderful Wizard of Oz"" → preferred: ""Wunderwirkenden Zauberer von Oz"" (part of speech: noun) (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text)"
1,by L. Frank Baum,von L. Frank Baum,TRUE,TRUE,TRUE,TRUE,,,TRUE,The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz | land of Oz → Land Oz (note: German uses 'Land Oz' without 'of') | Great Oz → großen Oz | land of the Winkies → Land der Winkies (note: see also Country of the West) | Tin Woodman → Blechholzfäller (note: proper name/capitalization — appears as title and as character name) | Dorothy → Dorothy,
2,Introduction,Einführung,TRUE,TRUE,TRUE,TRUE,,,TRUE,opening → Lichtung | table → Tisch | home → zu Hause (adverb) (note: Appears as 'wieder zu Hause' in German.) | meeting → Versammlung | Chicago → Chicago | three steps → drei Schritten | basket → Korb | Golden Cap → Goldene Kappe,
3,"Folklore, legends, myths and fairy tales have followed childhood through the ages, for every healthy youngster has a wholesome and instinctive love for stories fantastic, marvelous and manifestly unreal.","Folklore, Legenden, Mythen und Märchen haben die Kindheit durch die Jahrhunderte begleitet, denn jedes gesunde Kind hat eine gesunde und instinktive Liebe für fantastische, wunderbare und offensichtlich unwirkliche Geschichten.",TRUE,TRUE,TRUE,TRUE,,,FALSE,folklore → Folklore | old time fairy tale → altes Märchen (note: Rendered as 'das alte Märchen' in German) | fairy → Feen | childhood → Kindheit | children's library → Kinderbibliothek (note: German splits the word in source with hyphenation; use 'Kinderbibliothek') | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | winged fairy → geflügelte Elfe (note: 'Elfen' used instead of 'Feen' for 'fairies' in this translation),"1. term: ""fairy"" → preferred: ""Feen"" (part of speech: noun)"
4,The winged fairies of Grimm and Andersen have brought more happiness to childish hearts than all other human creations.,Die geflügelten Feen von Grimm und Andersen haben mehr Glück in Kinderherzen gebracht als alle anderen menschlichen Schöpfungen.,FALSE,TRUE,TRUE,FALSE,Die geflügelten Elfen von Grimm und Andersen haben den kindlichen Herzen mehr Glück gebracht als alle anderen menschlichen Schöpfungen.,Die geflügelten Elfen von Grimm und Andersen haben mehr Glück in Kinderherzen gebracht als alle anderen menschlichen Schöpfungen.,FALSE,winged fairy → geflügelte Elfe (note: 'Elfen' used instead of 'Feen' for 'fairies' in this translation) | fairy → Feen | old time fairy tale → altes Märchen (note: Rendered as 'das alte Märchen' in German) | King of the Winged Monkeys → König der Geflügelten Affen (note: full title appears in German.) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | winged monkey → geflügelter Affe,"1. term: ""winged fairy"" → preferred: ""geflügelte Elfe"" (part of speech: noun) (note: 'Elfen' used instead of 'Feen' for 'fairies' in this translation) | 2. term: ""heart"" → preferred: ""Herz"" (part of speech: noun)"
5,"Yet the old time fairy tale, having served for generations, may now be classed as “historical” in the children’s library; for the time has come for a series of newer “wonder tales” in which the stereotyped genie, dwarf and fairy are eliminated, together with all the horrible and blood-curdling incidents devised by their authors to point a fearsome moral to each tale.","Denn es ist an der Zeit für eine Reihe neuerer ""Wundermärchen"", in denen die stereotypen Geister, Zwerge und Feen verschwinden, zusammen mit all den schrecklichen und blutigen Ereignissen, die sich ihre Autoren ausgedacht haben, um jedem Märchen eine furchterregende Moral zu geben.",FALSE,TRUE,TRUE,FALSE,"Denn das alte Märchen, das über Generationen gedient hat, kann jetzt in der Kinderbibliothek als „historisch"" eingestuft werden; denn es ist an der Zeit für eine Reihe neuerer „Wundermärchen"", in denen die stereotypen Genie, Zwerge und Feen beseitigt werden, zusammen mit all den schrecklichen und grauenerregenden Ereignissen, die ihre Autoren erdacht haben, um jedem Märchen eine furchterregende Moral zu verleihen.","Denn das alte Märchen, das Generationen gedient hat, kann nun in der Kinderbibliothek als „historisch"" eingestuft werden; denn die Zeit ist gekommen für eine Reihe neuerer „Wundermärchen“, in denen die stereotypen Geister, Zwerge und Feen eliminiert sind, zusammen mit all den grauenerregenden Ereignissen, die ihre Autoren sich ausgedacht haben, um jedem Märchen eine furchterregende Moral zu geben.",FALSE,old time fairy tale → altes Märchen (note: Rendered as 'das alte Märchen' in German) | fairy → Feen | folklore → Folklore | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | children's library → Kinderbibliothek (note: German splits the word in source with hyphenation; use 'Kinderbibliothek') | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | winged fairy → geflügelte Elfe (note: 'Elfen' used instead of 'Feen' for 'fairies' in this translation) | blood-curdling incidents → grauenerregenden Ereignissen,"1. term: ""old time fairy tale"" → preferred: ""altes Märchen"" (part of speech: noun) (note: Rendered as 'das alte Märchen' in German) | 2. term: ""historical"" → preferred: ""historisch"" (part of speech: noun) (note: Appears in quotes in both texts) | 3. term: ""child"" → preferred: ""Kind"" (part of speech: noun) | 4. term: ""blood-curdling incidents"" → preferred: ""grauenerregenden Ereignissen"" (part of speech: noun)"
6,Modern education includes morality; therefore the modern child seeks only entertainment in its wonder tales and gladly dispenses with all disagreeable incident.,Die moderne Erziehung schließt die Moral mit ein; deshalb sucht das moderne Kind in seinen Wundermärchen nur noch Unterhaltung und verzichtet gerne auf alle unangenehmen Begebenheiten.,TRUE,TRUE,TRUE,TRUE,,,TRUE,modern education → Moderne Erziehung | morality → Moralität | moral → Moral (note: Used as 'Moralität' later; both forms appear) | old time fairy tale → altes Märchen (note: Rendered as 'das alte Märchen' in German) | entertainment → Unterhaltung | childhood → Kindheit | children's library → Kinderbibliothek (note: German splits the word in source with hyphenation; use 'Kinderbibliothek') | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text),"1. term: ""morality"" → preferred: ""Moralität"" (part of speech: noun)"
7,"Having this thought in mind, the story of “The Wonderful Wizard of Oz” was written solely to please children of today.","Mit diesem Gedanken im Hinterkopf wurde die Geschichte ""Der wunderbare Zauberer von Oz"" nur geschrieben, um Kindern von heute zu gefallen.",FALSE,TRUE,TRUE,FALSE,"Mit diesem Gedanken im Hinterkopf wurde die Geschichte „Wunderwirkenden Zauberer von Oz"" nur geschrieben, um Kindern von heute zu gefallen.","Mit diesem Gedanken im Hinterkopf wurde die Geschichte „Wunderwirkenden Zauberer von Oz"" nur geschrieben, um Kinder von heute zu gefallen.",FALSE,The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | Wizard Oz → Zauberer Oz | land of Oz → Land Oz (note: German uses 'Land Oz' without 'of') | land of the Winkies → Land der Winkies (note: see also Country of the West) | old time fairy tale → altes Märchen (note: Rendered as 'das alte Märchen' in German) | Great Oz → großen Oz | Dorothy → Dorothy,"1. term: ""The Wonderful Wizard of Oz"" → preferred: ""Wunderwirkenden Zauberer von Oz"" (part of speech: noun) (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | 2. term: ""child"" → preferred: ""Kind"" (part of speech: noun)"
8,"It aspires to being a modernized fairy tale, in which the wonderment and joy are retained and the heartaches and nightmares are left out.","Es hat den Anspruch, ein modernisiertes Märchen zu sein, in dem das Wunderbare und die Freude erhalten bleiben und der Herzschmerz und die Albträume weggelassen werden.",TRUE,TRUE,TRUE,TRUE,,"Es hat den Anspruch, ein modernisiertes Feen-Märchen zu sein, in dem das Wunderbare und die Freude erhalten bleiben und die Herzbeklemmungen und die Albträume weggelassen werden.",FALSE,old time fairy tale → altes Märchen (note: Rendered as 'das alte Märchen' in German) | fairy → Feen | The Wonderful Wizard of Oz → Wunderwirkenden Zauberer von Oz (note: German title appears as 'Wunderwirkenden Zauberer von Oz' within text) | the Wonderful Wizard → Wunderwirkenden Zauberer (note: German compounds 'Wonderful Wizard' differently; tone matters) | winged fairy → geflügelte Elfe (note: 'Elfen' used instead of 'Feen' for 'fairies' in this translation) | castle of Glinda → Glindas Schloß | mark of the Good Witch’s kiss → Zeichen des Kusses der Guten Hexe (note: protective mark on Dorothy's forehead) | Emerald City → Smaragdstadt,"1. term: ""fairy"" → preferred: ""Feen"" (part of speech: noun) | 2. term: ""heartaches"" → preferred: ""Herzbeklemmungen"" (part of speech: noun)"
9,L.,L.,TRUE,TRUE,TRUE,TRUE,,,TRUE,Lion → Löwe | leg → Bein | leaf → Laub | ladder → Leiter | Oz → Oz | lovely Lady → reizende Dame | Chicago → Chicago | little woman → kleine Frau,
