English (United States),German (Germany),Part of Speech,notes
Aunt Em,Tante Em,noun,
axe,Axt,noun,
ball of fire,Feuerkugel,noun,
balloon,Ballon,noun,
balloon man,Ballonmann,noun,
balloonist,Ballonmann,noun,
basket,Korb,noun,
bear,Bär,noun,
beard,Bart,noun,
beast,Tier,noun,"General use of the word ""beast"", conrast with ""Beast"" (capitalized)"
Beast,Bestie,noun,"When capitalized, refers to the shape Oz took on himself"
bed,Bett,noun,
bedroom corner,Ecke,noun,corner of the room/bed translated as 'Ecke'
beetle,Käfer,noun,
bells,Glöckchen,noun,"Be careful: English 'bells' = German 'Glöckchen', not 'Bellen' (barking). In text bells are ‚Glöckchen‘ though German omitted explicit word; translator should use ‚Glöckchen’."
blade,Klinge,noun,
blood-curdling incidents,grauenerregenden Ereignissen,noun,
blue,blau,noun,
blue suit,blauen Anzug,noun,
bog,Sumpf,noun,plural in English text 'bogs and marshes' maps to singular 'Sümpfe' in German
bondage,Knechtschaft,noun,
boots,Stiefel,noun,
Boq,Boq,noun,
bow,verneigen,verb,also 'huldigen' used for paying homage
bracelet,Armband,noun,
brain,Verstand,noun,also when plural as 'brains'
bran,Kleie,adjective,mixed with pins/needles to make 'bran-new brains' => 'nagelneuen Verstand' phrase later
bran-new brains,nagelneuen Verstand,adjective,wordplay in English rendered as adjective + noun in German
bread,Brot,noun,
breakfast,Frühstück,noun,
breast,Brust,noun,
bridge,Brücke,noun,
broken,zerbrochen,noun,
brook,Bach,noun,
bucket of water,Eimer Wasser,noun,used when Dorothy throws water over the Witch
butter,Butter,noun,
cabbage,Kohl,noun,
cake,Kuchen,noun,
cap,Kappe,noun,
cap's charm,Zauber der Kappe,phrase,phrase linking the cap to its magical power
castle,Schloß,noun,
castle of Glinda,Glindas Schloß,noun,
cellar,Keller,noun,
chair,Stuhl,noun,
chairs of their hands,Sessel aus ihren Händen,phrase,phrase used to describe how they carried Dorothy.
chalk,Kreide,noun,
charm,Zauberspruch,noun,
checks,kariert,noun,
Chicago,Chicago,noun,
child,Kind,noun,
childhood,Kindheit,noun,
children's library,Kinderbibliothek,noun,German splits the word in source with hyphenation; use 'Kinderbibliothek'
china church,Porzellankirche,noun,
china country,Porzellanland,noun,
china cow,Porzellankuh,noun,
china dog,Porzellanhund,noun,
china house,Haus aus Porzellan,noun,compound appears as 'Häuser ... aus Porzellan' in German; use consistent phrasing
china people,Porzellanleute,noun,
china wall,Porzellanmauer,noun,
City of Emeralds,Stadt der Smaragde,noun,
claw,Kralle,noun,plural 'claws' -> 'Krallen' appears in text as plural
clothes basket,Wäschekorb,noun,specific type of basket used
clown,Clown,noun,
cookie,Keks,noun,
cookstove,Kochherd,noun,
cornfield,Maisfeld,noun,
cottage,Hütte,noun,
country of the quadlings,Land der Quadlinge,noun,
Country of the West,Land des Westens,noun,also appears as 'Land der Winkies' variants; use consistent translation
courage,Mut,noun,
courtyard,Hof,noun,
Cowardly Lion,Feige Löwe,adjective,title/capition uses adjective before noun
cradle,Wiege,noun,
crow,Krähe,noun,
cupboard,Schrank,noun,
current,Strömung,noun,
cyclone,Zyklon,noun,
cyclone cellar,Zyklonkeller,noun,compound noun in German; single word
desert,Wüste,noun,
dew,Feuchtigkeit,noun,the tree protects from 'dew' rendered as 'Feuchtigkeit'
dish,Schale,noun,
ditch,Graben,noun,also translated as 'Abgrund' in some contexts; 'Graben' is the literal ditch
dog,Hund,noun,
Dorothy,Dorothy,noun,
dress,Kleid,noun,
dried leaves,trockenes Laub,noun,
dwarf,Zwerge,noun,
ear,Ohr,noun,
east,Osten,noun,
elephant,Elefant,noun,
emerald,Smaragd,noun,
Emerald City,Smaragdstadt,noun,
enemy,Feind,noun,
entertainment,Unterhaltung,noun,
fairy,Feen,noun,
farm,Farmen,noun,
farmer,Farmer,noun,
farmer's wife,Bauersfrau,noun,
farmhouse,Bauernhof,noun,
feather,Feder,noun,
feet,Füße,noun,
fence,Zäune,noun,
field,Feld,noun,
field mouse,Feldmaus,noun,
fight,kämpfen,noun,
fire,Feuer,noun,
flock,Schwarm,noun,
folklore,Folklore,noun,
forehead,Stirn,noun,
forest,Wald,noun,
fox,Fuchs,noun,
fruit,Früchte,noun,
gas,Gas,noun,
gate,Tor,noun,
Gayelette,Frohmuthe,noun,proper name translated to a German form.
gingham,Baumwolle,noun,English 'gingham' rendered as 'Baumwolle' (cotton) in German—keep sense of checked fabric contextually
Glinda,Glinda,noun,
glue,Leim,noun,
Golden Cap,Goldene Kappe,noun,
Golden Cap charm,Zauber der Goldenen Kappe,phrase,phrase linking the cap to its magical power
golden collar,goldene Halsbänder,noun,
goldsmith,Goldschmied,noun,
Good Witch,Guten Hexe,noun,appears in German with feminine article implied; in English 'Good Witch’s kiss' = 'Kußabzeichen der Guten Hexe'
Good Witch of the North,Gute Hexe des Nordens,noun,
gown,Kleid,noun,German: ‚weiße Gown‘ rendered as ‚Kleid‘/‚weisses Kleid‘
grain,Getreide,noun,
grass,Gras,noun,
Great and Terrible,Große und Schreckliche,noun,
Great Oz,großen Oz,noun,
Great Wizard,Großer Zauberer,noun,
green books,grünen Bücher,noun,
green bottle,grüne Flasche,noun,
green box,grüne Kiste,noun,
green carpet,grünen Teppich,noun,
green carts,grünen Karren,noun,
green clothes,grün gekleidet,noun,
green cook,grünen Hahns,noun,English 'cock' rendered as 'Hahn' in German
green egg,grünes Ei,noun,
green furniture,grüne Möbel,noun,
green girl,grüne Mädchen,adjective,German: 'das schöne grüne Mädchen' ('Mädchen' neuter); use 'grüne Mädchen' as in text
green glass,grünes Glas,noun,
green lawn,grünen Rasen,noun,
green maiden,grünes Mädchen,noun,
green marble,grüner Marmor,noun,
green mat,grünen Matte,noun,
green pennies,grünen Pennies,noun,
green perfume,grünes Parfum,noun,
green ribbon,grünes Band,noun,
green silk,grüne Seide,noun,
green spectacles,grünen Brillen,noun,
green velvet,grünem Samt,noun,
green whiskers,grünen Bart,noun,
greensward,grüner Rasen,noun,English phrase; German uses ‚grüner Rasen‘ or ‚Flecken von grünem Rasen’
growl,Knurren,noun,
guardian of the gate,Torwächter,noun,
gulf,Abgrund,noun,used where a deep chasm is implied
Hammer-Heads,Hammerköpfe,noun,plural form only
handle,Stiel,noun,
hat,Hut,noun,
heart,Herz,noun,
heartaches,Herzbeklemmungen,noun,
heels,Hacken,noun,
hill,Berg,noun,
hill of the Hammer-Heads,Berg der Hammerköpfe,noun,
historical,historisch,noun,Appears in quotes in both texts
holiday,Feiertag,noun,
home,zu Hause,adverb,Appears as 'wieder zu Hause' in German.
hot air,heiße Luft,noun,
house,Haus,noun,
house shook,Haus schwankte,verb,phrase indicating house movement
houses of the Munchkins,Häuser der Munchkins,noun,
howl,heulen,noun,applies to wind sound
iron bar,Eisenstange,noun,
iron fence,Eisengitter,noun,
joints,Gelenke,noun,
Kalidahs,Kalidahs,noun,
Kansas,Kansas,noun,
key,Schlüssel,noun,
king,König,noun,
King Crow,Krähenkönig,noun,
king of beasts,König der Tiere,noun,
king of the forest,König des Waldes,noun,
King of the Monkeys,König der Affen,noun,
King of the Winged Monkeys,König der Geflügelten Affen,noun,full title appears in German.
kiss,Kuß,noun,orthography in German text uses ß 'Kuß'; modern spelling 'Kuss'
kitchen,Küche,noun,
knock the heels together,dreimal die Hacken zusammenzuschlagen,verb,German phrasing includes 'dreimal' (three times) as part of the verb phrase
ladder,Leiter,noun,
land of Oz,Land Oz,noun,German uses 'Land Oz' without 'of'
land of the Winkies,Land der Winkies,noun,see also Country of the West
laugh,Lachen,noun,
leaf,Laub,noun,
leg,Bein,noun,
lighted match,brennendes Streichholz,noun,
Lion,Löwe,noun,
little woman,kleine Frau,noun,
lovely Lady,reizende Dame,noun,
mane,Mähne,noun,
mantel,Kaminsims,noun,also appears plural/variants like 'Kaminsimsen' in German; use Kaminsims
mark of the Good Witch’s kiss,Zeichen des Kusses der Guten Hexe,noun,protective mark on Dorothy's forehead
mark upon your forehead,Zeichen auf deiner Stirn,noun,English 'mark' = German 'Zeichen'
marsh,Marsch,noun,
meadow,Wiese,noun,plural/collective 'meadows' -> 'Wiesen' in German text
meeting,Versammlung,noun,
melt,zerschmelzen,verb,German uses 'zerschmelzen' to describe Witch's end
mender’s shop,Werkstatt,noun,
milkmaid,Milchmädchen,noun,
modern education,Moderne Erziehung,noun,
monkey king,Affenkönig,noun,
monster,Ungeheuer,noun,
moral,Moral,noun,Used as 'Moralität' later; both forms appear
morality,Moralität,noun,
moss,Moos,noun,
Mr. Joker,Mr. Joker,noun,
muddy hole,modderiges Loch,noun,
Munchkin,Munchkin,noun,
Munchkin girl,Munchkinmädchen,noun,
neck,Hals,noun,
needle and thread,Nadel und Faden,noun,
nest,Nest,noun,
north wind,Nordwind,noun,
